x,y
0.749,4.269
1.901,15.35
1.464,10.45
1.197,5.708
0.312,1.697
0.312,2.273
0.116,2.751
1.732,12.95
1.202,6.932
1.416,9.347
0.041,2.003
1.94,16.497
1.665,12.116
0.425,2.904
0.364,2.221
0.367,3.106
0.608,2.626
1.05,6.076
0.864,4.575
0.582,1.719
1.224,8.236
0.279,2.053
0.584,3.198
0.733,3.842
0.912,3.905
1.57,11.118
0.399,1.934
1.028,5.428
1.185,7.42
0.093,1.616
1.215,9.746
0.341,2.206
0.13,1.569
1.898,15.526
1.931,14.133
1.617,12.049
0.609,3.392
0.195,3.968
1.368,9.163
0.88,5.387
0.244,1.632
0.99,4.754
0.069,2.295
1.819,15.312
0.518,3.63
1.325,8.008
0.623,4.816
1.04,4.924
1.093,7.36
0.37,4.34
1.939,15.169
1.55,10.744
1.879,15.45
1.79,13.684
1.196,6.131
1.844,14.954
0.177,0.386
0.392,2.718
0.09,0.286
0.651,5.121
0.777,3.584
0.543,2.647
1.657,13.37
0.714,2.723
0.562,3.298
1.085,8.012
0.282,0.195
1.604,12.116
0.149,1.625
1.974,17.417
1.544,10.008
0.397,0.948
0.011,1.544
1.631,12.539
1.414,10.074
1.458,10.64
1.543,10.543
0.148,1.594
0.717,4.269
0.232,0.91
1.726,15.258
1.247,8.629
0.662,2.446
0.127,1.959
0.622,2.43
0.65,4.357
1.459,11.465
1.275,7.607
1.774,14.958
0.944,5.977
0.239,2.472
1.426,11.854
1.522,10.743
1.123,6.272
1.542,10.327
0.988,5.085
1.045,6.293
0.855,5.245
0.051,1.386
0.216,2.398
